date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:20	38136/38136	---MC-	200	added ('OK')	text/html	date:Wed,%2011%20Aug%202021%2013:56:18%20GMT	https://pk.madi.ru/	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/index.html	(from )
16:56:24	254/254	---M--	200	added ('OK')	text/plain	etag:%22fe-5b2e40064b67b%22	https://pk.madi.ru/robots.txt		(from )
16:56:27	265225/265225	---M--	200	added ('OK')	application/javascript	etag:%2240c09-5b06e0d72aa41%22	https://pk.madi.ru/engine/jslibs/jquery.js	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/engine/jslibs/jquery.js	(from https://pk.madi.ru/)
16:56:30	32259/32259	---M--	200	added ('OK')	application/javascript	etag:%227e03-5b06e0d725c21%22	https://pk.madi.ru/engine/jslibs/highslide/highslide.js	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/engine/jslibs/highslide/highslide.js	(from https://pk.madi.ru/)
16:56:37	6784/6784	---M--	200	added ('OK')	application/javascript	etag:%221a80-5b06e0d75cb09%22	https://pk.madi.ru/templates/default/js/slides.min.jquery.js	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/templates/default/js/slides.min.jquery.js	(from https://pk.madi.ru/)
16:56:41	79066/79066	---M--	200	added ('OK')	application/javascript	etag:%22134da-559b312623f80%22	https://pk.madi.ru/templates/default/js/popcorn.js	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/templates/default/js/popcorn.js	(from https://pk.madi.ru/)
16:56:42	3152/3152	---M--	200	added ('OK')	application/javascript	etag:%22c50-5b332f7a8e0ad%22	https://pk.madi.ru/templates/default/js/superfish-modified.js	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/templates/default/js/superfish-modified.js	(from https://pk.madi.ru/)
16:56:47	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5b06e0dd5c171%22	https://pk.madi.ru/favicon.ico	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/favicon.ico	(from https://pk.madi.ru/)
16:56:49	26190/26190	---M--	200	added ('OK')	text/css	etag:%22664e-5c712fffc6939%22	https://pk.madi.ru/templates/default/css/style.css	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/templates/default/css/style.css	(from https://pk.madi.ru/)
16:56:49	2372/2372	---M--	200	added ('OK')	text/css	etag:%22944-5b06e0d758c89%22	https://pk.madi.ru/templates/default/css/slider.css	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/templates/default/css/slider.css	(from https://pk.madi.ru/)
16:56:50	3489/3489	---M--	200	added ('OK')	text/css	etag:%22da1-5c5fbd4e12e0b%22	https://pk.madi.ru/templates/default/css/superfish-modified.css	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/templates/default/css/superfish-modified.css	(from https://pk.madi.ru/)
16:56:52	17805/17805	---M--	200	added ('OK')	text/css	etag:%22458d-5b2e4b41c1971%22	https://pk.madi.ru/templates/default/css/burgermenu.css	C:/Users/79164/Desktop/MyWebsites/Madi/pk.madi.ru/templates/default/css/burgermenu.css	(from https://pk.madi.ru/)
